# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
94000	-787.2407538141806	-44.564777951259714	-742.675975862921	0.28380048865575414	3.652191042613794	0.5763470876862832	1.0	1.0	-742.675975862921	0.0	-45.11582316825733
95000	-765.4240009926962	-32.4576251788058	-732.9663758138904	0.2024414681976117	2.9632330268781617	0.5600335143746298	1.0	1.0	-732.9663758138904	0.0	-33.0373838287719
96000	-784.8331488415142	-42.893918674636616	-741.9392301668776	0.3409163275903798	3.5304539314432284	0.714904039521655	1.0	1.0	-741.9392301668776	0.0	-43.22952563041095
97000	-784.1325339109154	-47.8625224092575	-736.2700115016579	0.3032847252167877	3.7914936382722977	0.8230960070682533	1.0	1.0	-736.2700115016579	0.0	-48.05720483938223
98000	-765.3812220249758	-36.98487555898262	-728.3963464659932	0.258941228925312	3.2270266859251944	0.6074813318210412	1.0	1.0	-728.3963464659932	0.0	-37.483309392754855
99000	-772.8048053204399	-43.698218973535205	-729.1065863469047	0.2904622465777205	3.6042663491830766	0.7367985895523934	1.0	1.0	-729.1065863469047	0.0	-44.00365968188631
100000	-769.7961850525098	-37.017631640282836	-732.778553412227	0.23787605077390658	3.3507843208102375	0.5503015386866028	1.0	1.0	-732.778553412227	0.0	-37.61492053913625
101000	-777.5523925903715	-43.01492067329622	-734.5374719170753	0.2889049227373697	3.4717315905010313	0.6521481412750285	1.0	1.0	-734.5374719170753	0.0	-43.44240420563553
102000	-765.0538655230514	-37.190907509318905	-727.8629580137325	0.2413991902694826	3.131489102486546	0.6247796409168999	1.0	1.0	-727.8629580137325	0.0	-37.661263775286564
103000	-784.5465087652263	-51.86705450349488	-732.6794542617315	0.2828730310701569	3.733593350430146	0.8897314462369842	1.0	1.0	-732.6794542617315	0.0	-51.98389011110635
104000	-776.457023435489	-44.319535394551444	-732.1374880409376	0.32889019850434287	3.7739161291018406	0.7752176283719167	1.0	1.0	-732.1374880409376	0.0	-44.574146872817686
105000	-790.4921543373484	-33.79477926977487	-756.6973750675736	0.30508304252852186	3.3888130473727913	0.5775384320508504	1.0	1.0	-756.6973750675736	0.0	-34.34375955958949
106000	-802.5169038912827	-46.68246437420156	-755.8344395170811	0.31201001126440847	3.9723718131003056	0.7124387597887955	1.0	1.0	-755.8344395170811	0.0	-47.021525695928474
107000	-773.1275600416094	-39.18557109321514	-733.9419889483943	0.26685697653145124	3.565803932784523	0.6363178814047965	1.0	1.0	-733.9419889483943	0.0	-39.637628120212725
108000	-767.548742293955	-42.88800086173558	-724.6607414322194	0.34796252855627424	3.8091444447562512	0.7439278986784021	1.0	1.0	-724.6607414322194	0.0	-43.183812020979175
109000	-781.6953465994012	-53.90544540895055	-727.7899011904507	0.30581726359741124	4.062550250429598	0.8327819009506178	1.0	1.0	-727.7899011904507	0.0	-54.088428903656265
110000	-796.0342149841161	-54.95356746867994	-741.0806475154362	1.0603365658936064	5.855088339852037	0.8133354585486651	1.0	1.0	-741.0806475154362	0.0	-55.16017910509664
111000	-769.3426276578512	-34.680185691512094	-734.6624419663391	0.3278521535522223	3.5136760452782356	0.7005570058803369	1.0	1.0	-734.6624419663391	0.0	-35.036065229204034
112000	-780.8978212706497	-37.85643515434887	-743.0413861163008	0.3279137575021354	3.716659036221711	0.7613605756995695	1.0	1.0	-743.0413861163008	0.0	-38.12908336944083
113000	-795.1405993313315	-46.68487698695873	-748.4557223443728	0.35364856941425266	4.046896015285969	0.8515751818843056	1.0	1.0	-748.4557223443728	0.0	-46.84554447629205
114000	-773.509997894295	-37.26873168173505	-736.2412662125599	0.3321235129766143	3.5206185350254904	0.7015756246488444	1.0	1.0	-736.2412662125599	0.0	-37.62315826280145
115000	-788.104900329226	-52.14928034302577	-735.9556199862002	0.353874332219363	4.2871259981581185	0.7561330298286617	1.0	1.0	-735.9556199862002	0.0	-52.42881829594659
116000	-779.8557549657996	-50.25345380856942	-729.6023011572303	0.3262295008940389	3.8666728119659663	0.935800905152186	1.0	1.0	-729.6023011572303	0.0	-50.31980634189025
117000	-784.31307959178	-46.877352096198294	-737.4357274955818	0.36433917926515075	3.8608629394558003	0.8715857063628748	1.0	1.0	-737.4357274955818	0.0	-47.0147931715727
118000	-774.9933738697979	-45.2108680983177	-729.7825057714801	0.29123806580023115	3.434529269874155	0.5868766519585651	1.0	1.0	-729.7825057714801	0.0	-45.743808712522345
119000	-774.3034748842952	-44.43371796778862	-729.8697569165065	0.3212507836783574	3.65787038278806	0.8597167627399841	1.0	1.0	-729.8697569165065	0.0	-44.58487025744052
120000	-769.7179484455106	-33.93608917538418	-735.7818592701265	0.30135073287969233	3.5902115578332974	0.6057839675329996	1.0	1.0	-735.7818592701265	0.0	-34.437321021093815
121000	-776.3445982758204	-36.35634285734774	-739.9882554184727	0.32308436330952567	3.6133161212338525	0.6175841964100043	1.0	1.0	-739.9882554184727	0.0	-36.83828272668103
122000	-770.521787168928	-40.94163123613759	-729.5801559327904	0.28845612343768795	3.717999830153373	0.7364539650640448	1.0	1.0	-729.5801559327904	0.0	-41.247539786195205
123000	-783.7966270489585	-42.729774943078446	-741.06685210588	0.34139027935904576	3.9509311842451384	0.7163280858220601	1.0	1.0	-741.06685210588	0.0	-43.06339193964894
124000	-780.4090574297137	-37.575643461050376	-742.8334139686633	0.37625426154922287	3.8959648252487438	0.63399493014258	1.0	1.0	-742.8334139686633	0.0	-38.03135778226775
