# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	table
350000	"011010101010010010100100010000100000100110001000100010011000001111111001001011000000000110000"
351000	"111010100010001010000001011000111000000001000000000000011000001011111000000111000000000110001"
352000	"111010101010011000101100011000011000110010000000000010011000001110111001001111000000000110101"
353000	"111010101110001000100101011001011000100010000000010010011000001111111000001111000000000110001"
354000	"111011100110011000000000000000001001100010000000000010010100001111111100001111000011001110001"
355000	"111010100110010010001000011010011000100010001000000010010000000110111000000111100011010110000"
356000	"111011100110110010000010010001011001100010000000000010010000001110011100010111000010000010001"
357000	"111011100110101000000001110001011100000010000101100000010000010011010100000101001000000111011"
358000	"100001000100011010111100010001101010111001000000000011101011011010100001110000001001000100010"
359000	"010000110110100010000000101001100000001010000000000010110101101001110010011100000000010000001"
360000	"010100001110011000101100001101000001000000001000101010000001010000000000011100000100101110100"
361000	"011010000011110110101101100100001101111101100100011100100000111110111000010011001001010100001"
362000	"111010100110011000000000010001111000100011001000000010011000001111110100000111100010000110011"
363000	"111010101110111010000100001000111000110010001000000000011000001011110000001011000000001110011"
364000	"111011101010101000000101011001011000100110000000000010010000001111110001000111000000000110001"
365000	"111010100110101000000000011000111000000010001010000010011000001010011000001111100000000110001"
366000	"101010100010010000000000010000011000110010001000000000011000000111101000001111100000000110011"
367000	"111011111110010000000100001000011000100010001001100010110000011111111000001111100001000110001"
368000	"111010101110011000000000010000111000010011001000000010011000000111100001000101000010000110001"
369000	"111011101110101000000000011001111010110010000000000000011101001010011011100011000101010010001"
